YEAR;REP;var;Variety;FAO cicle;Sowing date;Flowering date;Harvest date;Fresh Total;Fresh Ear Percentage;Fresh Foliage Percentage;Dry Total;Dry Ear Percentage;Dry Foliage Percentage
2012;A;1;LG 30.275;260;01/06/2012;No data;13/09/2012;64,88;32,00;68,00;22,44;49,03;50,97
2012;A;2;DKC3390;200;01/06/2012;No data;20/09/2012;53,10;43,10;56,90;23,73;55,93;44,07
2012;A;3;DKC4114;200;01/06/2012;No data;13/09/2012;63,84;27,14;72,86;18,38;46,46;53,54
2012;A;4;Codilor;260;01/06/2012;No data;27/09/2012;63,94;36,49;63,51;26,10;53,43;46,57
2012;A;5;Sy Kairo;200;01/06/2012;No data;13/09/2012;56,20;31,37;68,63;19,82;49,60;50,40
2012;A;6;Barsa;180;01/06/2012;No data;13/09/2012;68,40;30,77;69,23;24,83;49,03;50,97
2012;A;7;Pontos;190;01/06/2012;No data;13/09/2012;59,26;33,82;66,18;21,79;50,52;49,48
2012;A;8;Backari;260;01/06/2012;No data;20/09/2012;63,11;36,07;63,93;24,19;54,06;45,94
2012;A;9;LG 34.90;400;01/06/2012;No data;01/10/2012;71,66;36,11;63,89;24,09;56,60;43,40
2012;A;10;DKC4608;400;01/06/2012;No data;01/10/2012;72,24;32,43;67,57;23,62;55,23;44,77
2012;A;11;Aallexia;400;01/06/2012;No data;01/10/2012;71,82;34,57;65,43;23,00;56,19;43,81
2012;A;12;Sy Syncero;600;01/06/2012;No data;27/09/2012;78,23;35,06;64,94;26,21;47,88;52,12
2012;A;13;Anjou-387;300;01/06/2012;No data;27/09/2012;62,21;38,60;61,40;24,98;55,65;44,35
2012;A;14;Susann;260;01/06/2012;No data;20/09/2012;60,43;41,89;58,11;25,82;55,82;44,18
2012;A;15;Loubazi;300;01/06/2012;No data;27/09/2012;72,58;35,44;64,56;26,75;51,66;48,34
2012;A;16;Chatillon;260;01/06/2012;No data;20/09/2012;60,17;36,92;63,08;24,85;53,64;46,36
2012;A;17;Devolvi;300;01/06/2012;No data;27/09/2012;67,60;36,62;63,38;24,65;52,38;47,62
2012;A;18;Fern�ndez;300;01/06/2012;No data;20/09/2012;60,89;36,36;63,64;25,51;51,52;48,48
2012;B;1;LG 30.275;260;01/06/2012;No data;13/09/2012;45,53;36,73;63,27;17,19;51,89;48,11
2012;B;2;DKC3390;200;01/06/2012;No data;20/09/2012;50,92;40,82;59,18;20,34;59,18;40,82
2012;B;3;DKC4114;200;01/06/2012;No data;13/09/2012;65,12;27,14;72,86;20,06;41,19;58,81
2012;B;4;Codilor;260;01/06/2012;No data;27/09/2012;60,62;36,67;63,33;23,53;53,77;46,23
2012;B;5;Sy Kairo;200;01/06/2012;No data;13/09/2012;66,11;27,78;72,22;22,26;43,49;56,51
2012;B;6;Barsa;180;01/06/2012;No data;13/09/2012;67,68;31,51;68,49;22,03;53,24;46,76
2012;B;7;Pontos;190;01/06/2012;No data;13/09/2012;48,50;34,55;65,45;15,26;56,31;43,69
2012;B;8;Backari;260;01/06/2012;No data;20/09/2012;56,52;36,21;63,79;20,95;55,29;44,71
2012;B;9;LG 34.90;400;01/06/2012;No data;01/10/2012;57,00;40,00;60,00;20,64;58,62;41,38
2012;B;10;DKC4608;400;01/06/2012;No data;27/09/2012;56,67;36,67;63,33;22,39;53,50;46,50
2012;B;11;Aallexia;400;01/06/2012;No data;01/10/2012;60,13;34,33;65,67;20,19;53,03;46,97
2012;B;12;Sy Syncero;600;01/06/2012;No data;01/10/2012;63,04;36,11;63,89;21,61;52,47;47,53
2012;B;13;Anjou-387;300;01/06/2012;No data;27/09/2012;38,90;44,44;55,56;17,05;59,85;40,15
2012;B;14;Susann;260;01/06/2012;No data;20/09/2012;44,01;39,58;60,42;18,03;52,52;47,48
2012;B;15;Loubazi;300;01/06/2012;No data;27/09/2012;35,64;41,30;58,70;14,32;59,04;40,96
2012;B;16;Chatillon;260;01/06/2012;No data;20/09/2012;44,16;38,71;61,29;19,95;53,91;46,09
2012;B;17;Devolvi;300;01/06/2012;No data;27/09/2012;36,09;39,53;60,47;15,60;50,06;49,94
2012;B;18;Fern�ndez;300;01/06/2012;No data;20/09/2012;50,68;41,51;58,49;21,71;57,69;42,31
2012;C;1;LG 30.275;260;01/06/2012;No data;13/09/2012;53,20;37,74;62,26;20,69;52,82;47,18
2012;C;2;DKC3390;200;01/06/2012;No data;20/09/2012;46,83;47,06;52,94;21,09;62,29;37,71
2012;C;3;DKC4114;200;01/06/2012;No data;13/09/2012;60,36;29,51;70,49;17,62;49,65;50,35
2012;C;4;Codilor;260;01/06/2012;No data;27/09/2012;43,80;39,62;60,38;20,11;54,18;45,82
2012;C;5;Sy Kairo;200;01/06/2012;No data;13/09/2012;57,67;28,07;71,93;19,28;48,76;51,24
2012;C;6;Barsa;180;01/06/2012;No data;13/09/2012;54,80;32,39;67,61;18,36;54,74;45,26
2012;C;7;Pontos;190;01/06/2012;No data;13/09/2012;54,02;35,59;64,41;18,73;54,97;45,03
2012;C;8;Backari;260;01/06/2012;No data;20/09/2012;71,10;33,78;66,22;27,10;50,99;49,01
2012;C;9;LG 34.90;400;01/06/2012;No data;01/10/2012;63,37;35,29;64,71;20,90;56,63;43,37
2012;C;10;DKC4608;400;01/06/2012;No data;27/09/2012;48,03;41,82;58,18;19,84;58,48;41,52
2012;C;11;Aallexia;400;01/06/2012;No data;01/10/2012;57,79;35,38;64,62;19,48;54,15;45,85
