mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.06728839874267578,0.00434367120800976,0.004323323567708333,0.0012352266991915565,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-4.51338449043649,-7.690711627946218,-26.93496401706969,-13.046353378484133,9.90602446451528,67
0.16266083717346191,0.015501516375293109,0.007073005040486653,0.003281323975460997,10,sqrt,1,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-4.535877912998288,-8.273184574284615,-26.627300718383292,-13.145454401888733,9.6544290473788,85
0.2276310125986735,0.008262425090491821,0.008292357126871744,0.002583691634371039,10,sqrt,1,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-4.597207446176513,-7.847373906621729,-26.629431668962358,-13.024671007253533,9.711094342792876,60
0.07259782155354817,0.0057105527707377686,0.00475319226582845,0.0019218019038424311,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-4.844975560393846,-6.580092393775701,-27.10906886891944,-12.844712274362996,10.111266303777871,28
0.14865469932556152,0.011924565366196578,0.007761081059773763,0.001867820048434006,10,sqrt,1,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-4.736142333249657,-6.6627647661052105,-26.77744028102229,-12.725449126792386,9.967340335603147,19
0.2200628916422526,0.0025345065143796168,0.00874765714009603,0.0035882255501160166,10,sqrt,1,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-4.76287865315306,-6.287680364603994,-26.818905587270223,-12.623154868342425,10.05719506689167,7
0.06695008277893066,0.0028099821759378467,0.003284931182861328,6.642343325316899e-05,10,sqrt,1,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-4.519910320738266,-6.5967770164474855,-27.009782407599335,-12.708823248261695,10.147788543182497,16
0.1413757006327311,0.011317431487228595,0.009150266647338867,0.003294302080201734,10,sqrt,1,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-4.469507623384845,-6.753907650794216,-26.67944792981035,-12.634287734663138,9.975119533179132,10
0.22343222300211588,0.013626445441013447,0.008306105931599935,0.0029652890386642006,10,sqrt,1,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-4.4666535642951155,-6.378659464142692,-26.939018723364075,-12.594777250600629,10.172901559600163,4
0.07620461781819661,0.0044618698349104475,0.007781982421875,0.0009230222691116964,10,sqrt,2,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-4.731089389308797,-7.929338391122239,-27.326719229160208,-13.32904900319708,9.98359581131338,97
0.14754652976989746,0.009223562549027198,0.009699344635009766,0.0036983450386989507,10,sqrt,2,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-4.69797181313638,-7.81879484461253,-26.795729535721446,-13.10416539782345,9.764871752190052,76
0.21297446886698404,0.006533811759127854,0.00871427853902181,0.0014896941456424436,10,sqrt,2,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-4.629334632962663,-7.427726114562433,-27.057039339939625,-13.03803336248824,9.978548497249346,64
0.07935063044230144,0.012417102651276476,0.004504283269246419,0.0009173682767184502,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-4.516670471125507,-7.718801017632921,-27.212066398844915,-13.149179295867782,10.029523260937495,88
