mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,param_max_iter,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.15725725889205933,0.04980589342754619,0.009937763214111328,0.015147655052108463,0.0001,0.1,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.0001}",-18.789444828697697,-3.554264085516608,-7.3510732929791835,-32.82353404581389,-15.629579063251843,11.40135659908462,241
0.15127551555633545,0.051403296845930174,0.0003318190574645996,6.452986694933562e-05,0.0001,0.1,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.001}",-18.789444828697697,-3.554264085516608,-7.3510732929791835,-32.82353404581389,-15.629579063251843,11.40135659908462,241
0.11800861358642578,0.02037386789720445,0.0004947781562805176,0.000196058541199538,0.0001,0.1,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.01}",-18.789444828697697,-3.554264085516608,-7.3510732929791835,-32.82353404581389,-15.629579063251843,11.40135659908462,241
0.14801305532455444,0.006627117954331955,0.0003657341003417969,2.441841604487166e-05,0.0001,0.1,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.0001}",-24.740631888791402,-3.4250943049611733,-7.375439847814656,-31.322158285638615,-16.71583108180146,11.63646010233151,267
0.18356144428253174,0.016105970051852197,0.001088261604309082,0.0011743870775757699,0.0001,0.1,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.001}",-24.740631888791402,-3.4250943049611733,-7.375439847814656,-31.322158285638615,-16.71583108180146,11.63646010233151,267
0.19373929500579834,0.01129748700311114,0.0004703402519226074,0.0001612694511831407,0.0001,0.1,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.01}",-24.740631888791402,-3.4250943049611733,-7.375439847814656,-31.322158285638615,-16.71583108180146,11.63646010233151,267
0.3681507110595703,0.023546565400278847,0.0005762577056884766,0.00023433059528083145,0.0001,0.1,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.0001}",-25.012864228214337,-3.319407130287274,-7.422212931208486,-32.156851730810374,-16.97783400513012,11.96690027331845,271
0.4454765319824219,0.021443140559228704,0.00047451257705688477,0.00011370333953817619,0.0001,0.1,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.001}",-25.012864228214337,-3.319407130287274,-7.422212931208486,-32.156851730810374,-16.97783400513012,11.96690027331845,271
0.4285971522331238,0.029006723197157983,0.00034040212631225586,1.823814474131222e-05,0.0001,0.1,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.01}",-25.012864228214337,-3.319407130287274,-7.422212931208486,-32.156851730810374,-16.97783400513012,11.96690027331845,271
0.07579517364501953,0.004567478131758159,0.0003858804702758789,4.742747240361591e-05,0.0001,0.3,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.0001}",-21.582562871018744,-3.6439412543583445,-7.390341336075803,-31.54704503908939,-16.040972625135574,11.176619711112812,255
0.08736950159072876,0.007962549233065812,0.0003635287284851074,4.948646691564207e-05,0.0001,0.3,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.001}",-21.582562871018744,-3.6439412543583445,-7.390341336075803,-31.54704503908939,-16.040972625135574,11.176619711112812,255
0.09883344173431396,0.003321884875491382,0.0005677938461303711,0.00020451676486587373,0.0001,0.3,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.01}",-21.582562871018744,-3.6439412543583445,-7.390341336075803,-31.54704503908939,-16.040972625135574,11.176619711112812,255
0.13115715980529785,0.015994102271857748,0.0005111098289489746,0.00016007604992492462,0.0001,0.3,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.0001}",-28.809765515795625,-3.3561348615326634,-7.397008198108315,-32.75112969784507,-18.07850956832042,12.857764426645685,293
0.1479387879371643,0.006580689157251811,0.0003165602684020996,2.6845325895923865e-05,0.0001,0.3,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.001}",-28.809765515795625,-3.3561348615326634,-7.397008198108315,-32.75112969784507,-18.07850956832042,12.857764426645685,293
0.1570250391960144,0.014772593575126346,0.0003299713134765625,3.088187915165148e-05,0.0001,0.3,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.01}",-28.809765515795625,-3.3561348615326634,-7.397008198108315,-32.75112969784507,-18.07850956832042,12.857764426645685,293
0.3315979838371277,0.06088506137142268,0.0007082223892211914,0.00018542662992606756,0.0001,0.3,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 5000, 'tol': 0.0001}",-25.898525222136293,-3.368778574338706,-7.616238776864798,-33.86081603796363,-17.686089652825856,12.604098190632403,280
0.41869068145751953,0.07097765354772785,0.0006530284881591797,0.00018715121928987444,0.0001,0.3,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 5000, 'tol': 0.001}",-25.898525222136293,-3.368778574338706,-7.616238776864798,-33.86081603796363,-17.686089652825856,12.604098190632403,280
0.4197121858596802,0.03784384320969466,0.0005497932434082031,0.0002705210500624226,0.0001,0.3,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 5000, 'tol': 0.01}",-25.898525222136293,-3.368778574338706,-7.616238776864798,-33.86081603796363,-17.686089652825856,12.604098190632403,280
0.07126694917678833,0.015161511798738548,0.0009483695030212402,0.0002539619761417466,0.0001,0.5,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 1000, 'tol': 0.0001}",-23.283990294288117,-3.604138242440369,-7.36808102462082,-32.16859780097532,-16.606201840581157,11.63161167552601,264
0.09185051918029785,0.009395235928382204,0.0008792281150817871,0.00037487541832242763,0.0001,0.5,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 1000, 'tol': 0.001}",-23.283990294288117,-3.604138242440369,-7.36808102462082,-31.783959934310015,-16.510042373914832,11.503442385134907,263
0.08440220355987549,0.03293392596205241,0.000585019588470459,0.00024187663994882508,0.0001,0.5,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 1000, 'tol': 0.01}",-23.283990294288117,-3.604138242440369,-7.36808102462082,-33.20696209977645,-16.86579291528144,11.982331615047434,270
0.15470272302627563,0.05249506876924901,0.000738680362701416,0.00029094830706992024,0.0001,0.5,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 2000, 'tol': 0.0001}",-30.399596010472465,-3.3418116051200806,-7.443892152553534,-34.33276667294855,-18.879516610273658,13.635513837509276,309
0.15075796842575073,0.0560568981372446,0.000652015209197998,0.00017347334627596566,0.0001,0.5,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 2000, 'tol': 0.001}",-30.399596010472465,-3.3418116051200806,-7.443892152553534,-31.783959934310015,-18.242314925614025,12.94031072373844,298
0.13554084300994873,0.05676128936389505,0.0009327530860900879,0.0005162709320777536,0.0001,0.5,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 2000, 'tol': 0.01}",-30.399596010472465,-3.3418116051200806,-7.443892152553534,-33.20696209977645,-18.598065466980632,13.321644495167407,302
0.28729724884033203,0.014679160082865062,0.0003268122673034668,1.0357325404339729e-05,0.0001,0.5,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 5000, 'tol': 0.0001}",-28.686524026582255,-3.36018000277686,-7.629551488758373,-34.290114568866045,-18.491592521745883,13.233230024101863,301
0.28444695472717285,0.12705127927301904,0.00043201446533203125,0.0001945516788376694,0.0001,0.5,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 5000, 'tol': 0.001}",-28.686524026582255,-3.36018000277686,-7.629551488758373,-31.783959934310015,-17.865053863106876,12.509966399608578,286
0.3079458475112915,0.166224002416359,0.0004782676696777344,0.0002684392040704604,0.0001,0.5,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 5000, 'tol': 0.01}",-28.686524026582255,-3.36018000277686,-7.629551488758373,-33.20696209977645,-18.220804404473483,12.914420289060848,297
0.06428486108779907,0.008011521613972582,0.000588834285736084,0.0002915268172464747,0.0001,0.7,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 1000, 'tol': 0.0001}",-25.933477486978603,-3.622330891399439,-7.362646244902653,-32.44313835518515,-17.34039824461646,12.141609001570663,274
0.07606637477874756,0.009789872815044539,0.00029468536376953125,3.509979827121122e-05,0.0001,0.7,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 1000, 'tol': 0.001}",-25.933477486978603,-3.622330891399439,-7.362646244902653,-32.44313835518515,-17.34039824461646,12.141609001570663,274
0.06540822982788086,0.02802913866210182,0.00036776065826416016,0.00014045722932349867,0.0001,0.7,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 1000, 'tol': 0.01}",-25.933477486978603,-3.622330891399439,-7.362646244902653,-33.19537156594557,-17.52845654730657,12.377607130014285,279
0.1169094443321228,0.006848558280583464,0.0004067420959472656,0.00018701912610475752,0.0001,0.7,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 2000, 'tol': 0.0001}",-33.094323115066764,-3.3254424896100363,-7.543510189841814,-35.34051811315445,-19.825948476918263,14.49031249360172,315
0.15032583475112915,0.004510129221297856,0.0006451606750488281,0.00023143070541550267,0.0001,0.7,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 2000, 'tol': 0.001}",-33.094323115066764,-3.3254424896100363,-7.543510189841814,-35.34051811315445,-19.825948476918263,14.49031249360172,315
0.12714368104934692,0.06200011111890656,0.0004190206527709961,0.00023072128809449455,0.0001,0.7,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 2000, 'tol': 0.01}",-33.094323115066764,-3.3254424896100363,-7.543510189841814,-33.19537156594557,-19.289661840116047,13.93525936211329,310
0.28018176555633545,0.03059126367551656,0.00033152103424072266,3.250612407453163e-05,0.0001,0.7,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 5000, 'tol': 0.0001}",-30.25492588505059,-3.5599118292149723,-7.662495227469428,-36.19269857489395,-19.417507879157235,14.040123991949626,312
0.3433590531349182,0.00872955342883814,0.0004958510398864746,0.00020665557841898426,0.0001,0.7,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 5000, 'tol': 0.001}",-30.25492588505059,-3.5599118292149723,-7.662495227469428,-36.19269857489395,-19.417507879157235,14.040123991949626,312
0.22936522960662842,0.1397416097407951,0.00041109323501586914,0.00017152144561729453,0.0001,0.7,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 5000, 'tol': 0.01}",-30.25492588505059,-3.5599118292149723,-7.641012837295177,-33.19537156594557,-18.662805529376577,13.182849106066474,307
0.06286799907684326,0.005677237564780766,0.0004895329475402832,0.00014905779838038827,0.0001,0.9,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.0001}",-27.592294593759924,-3.5406453760456387,-7.371069836822359,-33.12436873148128,-17.9070946345273,12.67646650319528,290
0.06914520263671875,0.009502943605207191,0.0006175041198730469,0.00019204339055590834,0.0001,0.9,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.001}",-27.592294593759924,-3.5406453760456387,-7.371069836822359,-33.12436873148128,-17.9070946345273,12.67646650319528,290
0.06487298011779785,0.028514366604593614,0.0004544854164123535,0.00015240359865263897,0.0001,0.9,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.01}",-27.592294593759924,-3.5406453760456387,-7.371069836822359,-33.190382328034055,-17.923598033665492,12.696294482628229,292
0.11567622423171997,0.004261588935764842,0.0004819035530090332,0.00030781927077613895,0.0001,0.9,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 2000, 'tol': 0.0001}",-36.70646232628689,-3.3161151338237866,-7.589841250119478,-35.91183492968285,-20.88106340997825,15.504445634918458,321
0.1481020450592041,0.007682279761275194,0.0005508661270141602,0.00024001673670550448,0.0001,0.9,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 2000, 'tol': 0.001}",-36.70646232628689,-3.3161151338237866,-7.589841250119478,-35.91183492968285,-20.88106340997825,15.504445634918458,321
0.11504906415939331,0.05624102205191413,0.000645756721496582,0.0004556049137219693,0.0001,0.9,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 2000, 'tol': 0.01}",-36.70646232628689,-3.3161151338237866,-7.589218780101251,-33.190382328034055,-20.200544642061494,14.877085580865067,319
0.2533301115036011,0.010490848121284091,0.0004742145538330078,0.00023612276022213905,0.0001,0.9,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 5000, 'tol': 0.0001}",-29.85482498997381,-3.8453495278950727,-7.744771346274423,-38.12939363649986,-19.89358487516079,14.464703191959837,317
0.281183660030365,0.05801137130321855,0.0005347132682800293,0.00037500648198881235,0.0001,0.9,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 5000, 'tol': 0.001}",-29.85482498997381,-3.8453495278950727,-7.727561305775933,-36.183553200775656,-19.402822256105118,13.867083039824045,311
0.2142503261566162,0.1450066104225009,0.00038617849349975586,0.00013502054561467702,0.0001,0.9,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 5000, 'tol': 0.01}",-29.85482498997381,-3.8453495278950727,-7.589218780101251,-33.190382328034055,-18.619943906501046,13.023879650683803,303
