mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,param_max_iter,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.12668269872665405,0.017501521023324144,0.0004298686981201172,0.00014151312619814494,0.0001,0.1,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.0001}",-30.006765643609928,-9.671084985819228,-19.860879905772254,-66.14502548949025,-31.420939006172915,21.298199364686536,235
0.1089065670967102,0.0113522643708095,0.00052642822265625,0.00019666584834355418,0.0001,0.1,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.001}",-30.006765643609928,-9.671084985819228,-19.860879905772254,-66.14502548949025,-31.420939006172915,21.298199364686536,235
0.09689974784851074,0.0157360181389394,0.0004261136054992676,0.00017635243685661483,0.0001,0.1,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.01}",-30.006765643609928,-9.671084985819228,-19.860879905772254,-66.14502548949025,-31.420939006172915,21.298199364686536,235
0.13046348094940186,0.00881151375668506,0.0007805228233337402,0.0003728200872183702,0.0001,0.1,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.0001}",-37.646330900886696,-9.822992868059886,-19.99817930531235,-65.37665844668582,-33.211040380236184,21.07059118662987,262
0.16864663362503052,0.005490105397921948,0.0005237460136413574,0.00020738999966459534,0.0001,0.1,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.001}",-37.646330900886696,-9.822992868059886,-19.99817930531235,-65.37665844668582,-33.211040380236184,21.07059118662987,262
0.17241698503494263,0.006366828721086428,0.00042122602462768555,0.0001578423166572858,0.0001,0.1,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.01}",-37.646330900886696,-9.822992868059886,-19.99817930531235,-65.37665844668582,-33.211040380236184,21.07059118662987,262
0.35844749212265015,0.03579343072836355,0.0003230571746826172,6.492256548018504e-06,0.0001,0.1,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.0001}",-41.70723525100099,-10.875280509490766,-19.938586041062027,-65.72867463301377,-34.562444108641884,21.19741086618772,278
0.4566897749900818,0.04508540382914593,0.0003635287284851074,4.398398747203744e-05,0.0001,0.1,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.001}",-41.70723525100099,-10.875280509490766,-19.938586041062027,-65.72867463301377,-34.562444108641884,21.19741086618772,278
0.4476724863052368,0.039638658011536286,0.0004387497901916504,0.00020709994719939027,0.0001,0.1,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.01}",-41.70723525100099,-10.875280509490766,-19.938586041062027,-65.72867463301377,-34.562444108641884,21.19741086618772,278
0.06551933288574219,0.007036534593758434,0.00038868188858032227,0.00017724432084866945,0.0001,0.3,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.0001}",-32.44050226779756,-9.669342575542785,-19.94936238790954,-65.90698483737218,-31.991548017155516,21.176363622752024,249
0.08397656679153442,0.006602037660217815,0.0004194974899291992,0.0002688675872912248,0.0001,0.3,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.001}",-32.44050226779756,-9.669342575542785,-19.94936238790954,-65.90698483737218,-31.991548017155516,21.176363622752024,249
0.07146483659744263,0.006142574049268155,0.00030547380447387695,5.161125543588269e-05,0.0001,0.3,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 1000, 'tol': 0.01}",-32.44050226779756,-9.669342575542785,-19.94936238790954,-65.90698483737218,-31.991548017155516,21.176363622752024,249
0.15021675825119019,0.007310760575530919,0.0008835792541503906,0.0008537345699686887,0.0001,0.3,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.0001}",-40.650073408444534,-9.95469164672703,-20.07821491710462,-65.44028365135225,-34.030815905907104,21.240904333580456,267
0.18176651000976562,0.015774522093167986,0.000558018684387207,0.00043832847270664974,0.0001,0.3,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.001}",-40.650073408444534,-9.95469164672703,-20.07821491710462,-65.44028365135225,-34.030815905907104,21.240904333580456,267
0.17527157068252563,0.011305302376919568,0.001167893409729004,0.0010430950640721785,0.0001,0.3,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 2000, 'tol': 0.01}",-40.650073408444534,-9.95469164672703,-20.07821491710462,-65.44028365135225,-34.030815905907104,21.240904333580456,267
0.3362405300140381,0.038538178978386795,0.0005764961242675781,0.00022530927856843683,0.0001,0.3,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 5000, 'tol': 0.0001}",-46.51039613716357,-11.61844695625795,-19.843534120867982,-70.76302099581551,-37.183849552526254,23.285304245338466,311
0.37355488538742065,0.04121163777203753,0.00045496225357055664,0.00023576682601742153,0.0001,0.3,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 5000, 'tol': 0.001}",-46.51039613716357,-11.61844695625795,-19.843534120867982,-70.76302099581551,-37.183849552526254,23.285304245338466,311
0.38787543773651123,0.03052336039213656,0.0005202293395996094,0.00016728075147813372,0.0001,0.3,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.3, 'max_iter': 5000, 'tol': 0.01}",-46.51039613716357,-11.61844695625795,-19.843534120867982,-70.76302099581551,-37.183849552526254,23.285304245338466,311
0.06560885906219482,0.002971276112959278,0.00043886899948120117,0.00019045320031658723,0.0001,0.5,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 1000, 'tol': 0.0001}",-32.570687649168164,-9.670003439072431,-20.028974074030437,-65.135658003866,-31.85133079153426,20.85751251791049,245
0.07181167602539062,0.004920353087986807,0.0003044605255126953,3.3836544164334584e-05,0.0001,0.5,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 1000, 'tol': 0.001}",-32.570687649168164,-9.670003439072431,-20.028974074030437,-65.135658003866,-31.85133079153426,20.85751251791049,245
0.07874202728271484,0.008835382358422204,0.00040900707244873047,0.0001789232952754768,0.0001,0.5,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 1000, 'tol': 0.01}",-32.570687649168164,-9.670003439072431,-20.028974074030437,-65.135658003866,-31.85133079153426,20.85751251791049,245
0.11768466234207153,0.014125643299766755,0.0007269978523254395,0.0005118564374211692,0.0001,0.5,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 2000, 'tol': 0.0001}",-42.72035047493573,-9.992019290990783,-20.04264014635554,-66.74606452109403,-34.875268608344015,21.888786542923295,283
0.156222403049469,0.010438544392122578,0.0004857778549194336,0.00017288203661091942,0.0001,0.5,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 2000, 'tol': 0.001}",-42.72035047493573,-9.992019290990783,-20.04264014635554,-66.74606452109403,-34.875268608344015,21.888786542923295,283
0.1513223648071289,0.010167260006796658,0.0003769397735595703,0.00014356045656630325,0.0001,0.5,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 2000, 'tol': 0.01}",-42.72035047493573,-9.992019290990783,-20.04264014635554,-66.74606452109403,-34.875268608344015,21.888786542923295,283
0.2987508773803711,0.022352191553041263,0.0007501840591430664,0.00024940648937022536,0.0001,0.5,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 5000, 'tol': 0.0001}",-45.70283224445896,-11.267315774760657,-19.951471901471137,-73.52893080786038,-37.61263768213779,24.29724327513594,315
0.36468541622161865,0.024267088587063793,0.0005840063095092773,0.00015672703308377805,0.0001,0.5,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 5000, 'tol': 0.001}",-45.70283224445896,-11.267315774760657,-19.951471901471137,-73.52893080786038,-37.61263768213779,24.29724327513594,315
0.3273037075996399,0.06838287617114605,0.0006135106086730957,0.00019791588341587472,0.0001,0.5,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.5, 'max_iter': 5000, 'tol': 0.01}",-45.70283224445896,-11.267315774760657,-19.856419405826163,-73.52893080786038,-37.588874558226536,24.314544901581826,314
0.06020611524581909,0.0034441238144046257,0.0003737807273864746,0.0001614302757425983,0.0001,0.7,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 1000, 'tol': 0.0001}",-31.73141607899432,-9.669972352606338,-20.086630802379354,-65.7320399814911,-31.805014803867778,21.08511964692681,243
0.07239127159118652,0.009121797842047486,0.0003612041473388672,0.00016896519653650046,0.0001,0.7,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 1000, 'tol': 0.001}",-31.73141607899432,-9.669972352606338,-20.086630802379354,-65.7320399814911,-31.805014803867778,21.08511964692681,243
0.05813908576965332,0.01493051648470109,0.000325620174407959,0.00016027868524512548,0.0001,0.7,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 1000, 'tol': 0.01}",-31.73141607899432,-9.669972352606338,-20.086630802379354,-65.9191507032725,-31.85179248431313,21.160408551439243,248
0.11935126781463623,0.00143721178103549,0.0003705024719238281,0.00017514331704639047,0.0001,0.7,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 2000, 'tol': 0.0001}",-45.9092205032208,-9.840362576751795,-19.942849699540538,-67.65917419673461,-35.83790174406194,22.597287250407287,295
0.14928346872329712,0.011366559619358587,0.0005287528038024902,0.0001921492804580467,0.0001,0.7,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 2000, 'tol': 0.001}",-45.9092205032208,-9.840362576751795,-19.942849699540538,-67.65917419673461,-35.83790174406194,22.597287250407287,295
0.12316828966140747,0.051526851187666124,0.0005074143409729004,0.00020089834605578147,0.0001,0.7,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 2000, 'tol': 0.01}",-45.9092205032208,-9.840362576751795,-20.034759737832534,-65.9191507032725,-35.42587338026941,21.972967886867213,288
0.28567081689834595,0.03406555414585571,0.0003204941749572754,4.355219665081874e-06,0.0001,0.7,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 5000, 'tol': 0.0001}",-50.11800965742694,-10.8028532955664,-19.92185872830144,-74.92987649489893,-38.943149544048424,25.3653690710297,321
0.36057788133621216,0.0591103119776927,0.0005741119384765625,0.0002226557015524468,0.0001,0.7,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 5000, 'tol': 0.001}",-50.11800965742694,-10.8028532955664,-19.92182801149714,-74.92987649489893,-38.943141864847355,25.365374829605038,320
0.2352604866027832,0.16047821940409435,0.00041025876998901367,0.0001097676620130443,0.0001,0.7,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.7, 'max_iter': 5000, 'tol': 0.01}",-50.11800965742694,-10.8028532955664,-20.034759737832534,-65.9191507032725,-36.718693348524596,22.260911895343373,307
0.06033891439437866,0.005073922949322747,0.002103745937347412,0.0030309106788692017,0.0001,0.9,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.0001}",-30.827432085354936,-9.673158209003446,-20.1071240446154,-66.29808350671416,-31.726449461421986,21.31526736291222,241
0.06681013107299805,0.010600644890552666,0.00037032365798950195,0.00017175161908658402,0.0001,0.9,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.001}",-30.827432085354936,-9.673158209003446,-20.1071240446154,-66.29808350671416,-31.726449461421986,21.31526736291222,241
0.057201266288757324,0.029008144147787254,0.00036007165908813477,0.0001452404004664111,0.0001,0.9,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 1000, 'tol': 0.01}",-30.827432085354936,-9.673158209003446,-20.1071240446154,-67.63770092326703,-32.0613538155602,21.859402715412326,256
0.11631566286087036,0.011368428508683808,0.00028574466705322266,7.1813084992547195e-06,0.0001,0.9,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 2000, 'tol': 0.0001}",-46.5245861194426,-9.77196628638588,-19.86725297319764,-68.98899748677582,-36.28820071645048,23.167239308285602,301
0.14724594354629517,0.00588721639709901,0.0006121397018432617,0.00032922634039677723,0.0001,0.9,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 2000, 'tol': 0.001}",-46.5245861194426,-9.77196628638588,-19.86725297319764,-68.98899748677582,-36.28820071645048,23.167239308285602,301
0.09955769777297974,0.06452721916692258,0.00030678510665893555,4.4644276829819384e-05,0.0001,0.9,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 2000, 'tol': 0.01}",-46.5245861194426,-9.77196628638588,-20.03568595664913,-67.63770092326703,-35.992484821436165,22.66318535721109,298
0.27897030115127563,0.04906213029048559,0.00043070316314697266,0.00015959069897866876,0.0001,0.9,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 5000, 'tol': 0.0001}",-54.94620617766346,-10.473859379280011,-19.854510841310745,-76.12485331897103,-40.34985742930631,26.483665809968755,323
0.36658215522766113,0.08028268231369314,0.00035762786865234375,3.2943633293854775e-05,0.0001,0.9,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 5000, 'tol': 0.001}",-54.94620617766346,-10.473859379280011,-19.85448779598295,-76.12485331897103,-40.34985166797436,26.48367026858622,322
0.23496001958847046,0.18892608129659721,0.0005133748054504395,0.00017285317182515203,0.0001,0.9,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 0.9, 'max_iter': 5000, 'tol': 0.01}",-54.94620617766346,-10.473859379280011,-20.03568595664913,-67.63770092326703,-38.27336310921491,23.6942678025444,318
0.06823426485061646,0.006853887138462103,0.0019268393516540527,0.002533031387358706,0.0001,1.0,1000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 1000, 'tol': 0.0001}",-30.690462089227598,-9.674961363114148,-20.090553723323637,-65.9860767892658,-31.610513491232794,21.19200183358725,240
0.08939826488494873,0.013927649187486731,0.0006417632102966309,0.00019443589685870638,0.0001,1.0,1000,0.001,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 1000, 'tol': 0.001}",-30.690462089227598,-9.674961363114148,-20.090553723323637,-65.82840490431579,-31.571095519995293,21.128075471121953,239
0.06679028272628784,0.03235364551449076,0.0013017654418945312,0.001700488295619249,0.0001,1.0,1000,0.01,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 1000, 'tol': 0.01}",-30.690462089227598,-9.674961363114148,-20.090553723323637,-67.63598469371232,-32.02299046734443,21.862516101419914,255
0.13228625059127808,0.013362308906937655,0.0036255717277526855,0.005699070547308825,0.0001,1.0,2000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 2000, 'tol': 0.0001}",-46.77988827733975,-9.723876846662728,-19.868241227733517,-69.65668400213804,-36.50717258846851,23.44471028936842,305
0.14824950695037842,0.05442950326563836,0.00048547983169555664,0.00019471788363517177,0.0001,1.0,2000,0.001,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 2000, 'tol': 0.001}",-46.77988827733975,-9.723876846662728,-19.868241227733517,-65.82840490431579,-35.550102814012945,22.112204715675936,289
0.1168399453163147,0.07057423392836744,0.0005367398262023926,0.00017346195908777887,0.0001,1.0,2000,0.01,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 2000, 'tol': 0.01}",-46.77988827733975,-9.723876846662728,-20.031134781514247,-67.63598469371232,-36.042721149807264,22.70723190286343,300
0.30515849590301514,0.057562754598815866,0.0004895329475402832,0.00017189114602757217,0.0001,1.0,5000,0.0001,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 5000, 'tol': 0.0001}",-56.032925964883056,-10.329457974429344,-19.87049187706512,-76.58320425689787,-40.70402001831884,26.8278825725914,324
0.2871452569961548,0.14387269330775776,0.005825817584991455,0.005419285102666823,0.0001,1.0,5000,0.001,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 5000, 'tol': 0.001}",-56.032925964883056,-10.329457974429344,-19.865891416872813,-65.82840490431579,-38.01417006512525,23.42066675664912,317
0.24461305141448975,0.19334221515799999,0.00033968687057495117,2.347204877593747e-05,0.0001,1.0,5000,0.01,"{'alpha': 0.0001, 'l1_ratio': 1.0, 'max_iter': 5000, 'tol': 0.01}",-56.032925964883056,-10.329457974429344,-20.031134781514247,-67.63598469371232,-38.50737585363474,23.932129553293393,319
0.0820649266242981,0.005671535786220155,0.0005930066108703613,0.00024255621536721327,0.001,0.1,1000,0.0001,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.0001}",-30.195401178787854,-10.4213693220029,-19.42893694181559,-68.04375167277156,-32.02236477884448,21.943538565890293,252
0.08391904830932617,0.016445628788211514,0.0008220076560974121,0.0008673529196373742,0.001,0.1,1000,0.001,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.001}",-30.195401178787854,-10.4213693220029,-19.42893694181559,-68.04375167277156,-32.02236477884448,21.943538565890293,252
0.09747517108917236,0.01642268240137355,0.0007142424583435059,0.00039450719544386096,0.001,0.1,1000,0.01,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 1000, 'tol': 0.01}",-30.195401178787854,-10.4213693220029,-19.42893694181559,-68.04375167277156,-32.02236477884448,21.943538565890293,252
0.14964628219604492,0.016079267121859152,0.0017635226249694824,0.0022232166265214585,0.001,0.1,2000,0.0001,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.0001}",-20.555392315973787,-9.690211632401763,-18.498165787358364,-59.75083328994524,-27.12365075641979,19.274327807078162,198
0.18639403581619263,0.01833398149253787,0.0004941225051879883,0.0002452569694930535,0.001,0.1,2000,0.001,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.001}",-20.555392315973787,-9.690211632401763,-18.498165787358364,-59.75083328994524,-27.12365075641979,19.274327807078162,198
0.19328445196151733,0.009741690601828883,0.0005393624305725098,0.00027004518935348987,0.001,0.1,2000,0.01,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 2000, 'tol': 0.01}",-20.555392315973787,-9.690211632401763,-18.498165787358364,-59.75083328994524,-27.12365075641979,19.274327807078162,198
0.3440302014350891,0.013661245235277307,0.0003495216369628906,3.164192721856306e-05,0.001,0.1,5000,0.0001,"{'alpha': 0.001, 'l1_ratio': 0.1, 'max_iter': 5000, 'tol': 0.0001}",-20.800133882842843,-9.692999653443689,-18.184033431119957,-49.438333177023125,-24.528875036107404,14.95614279171261,127
