mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10273369153340657,0.02340673408190226,0.0007151762644449869,0.00033707864210058314,0.01,3,1,2,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.6}",-9.55748384475195,-33.303444069025566,-38.56065238132834,-27.140526765035286,12.61697556369013,61
0.08335153261820476,0.0189753908108026,0.0006974538167317709,0.00021655235786602673,0.01,3,1,2,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.8}",-9.776933161429897,-32.442985706775,-37.32097619686034,-26.513631688355076,12.001014012469266,14
0.0663739840189616,0.017732899518652503,0.0005871454874674479,0.0002268353950082494,0.01,3,1,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",-9.864765784624565,-32.42609785449853,-37.90639112030665,-26.732418253143248,12.135256580692444,35
0.12030378977457683,0.007467054344094546,0.0006933212280273438,0.00026240063301292467,0.01,3,1,2,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.6}",-9.604381013905124,-29.241388438708064,-47.236300857380684,-28.694023436664622,15.368041603937675,103
0.12390716870625813,0.0017485534971587605,0.0004802544911702474,1.3850639794601478e-05,0.01,3,1,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",-9.882348115034121,-29.154420300733776,-45.88625603114501,-28.307674815637636,14.710723520510381,86
0.10902698834737141,0.01720531719420864,0.0006666183471679688,0.00024431572846006017,0.01,3,1,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",-9.768165351831254,-29.72370348248195,-47.44586870655807,-28.979245846957095,15.390862990749122,122
0.19605310757954916,0.021240882521316617,0.0009412765502929688,0.000461436273111901,0.01,3,1,2,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.6}",-10.362077702829286,-23.94010007536539,-55.73075457182945,-30.010977450008042,19.01264271100327,172
0.22307912508646646,0.010944795980512675,0.0009465217590332031,0.00042180970274081946,0.01,3,1,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-10.636079399195957,-24.210103309679695,-55.07825434357385,-29.974812350816503,18.595709741647326,170
0.23593767484029135,0.025606852016951853,0.0006600220998128256,3.7253533463970884e-05,0.01,3,1,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",-10.261194335922408,-24.46949099657079,-58.33504151654128,-31.02190894967816,20.165553657338993,224
0.045140981674194336,0.005837944273162188,0.0005213419596354166,0.00018704889340263013,0.01,3,1,5,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.6}",-9.55748384475195,-33.303444069025566,-38.56065238132834,-27.140526765035286,12.61697556369013,61
0.050258239110310875,0.0038325777930546625,0.0006546974182128906,0.00034028910642520775,0.01,3,1,5,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",-9.776933161429897,-32.442985706775,-37.32097619686034,-26.513631688355076,12.001014012469266,14
0.057293097178141274,0.007574733862607228,0.0005536874135335287,0.000198853514202424,0.01,3,1,5,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 1.0}",-9.864765784624565,-32.42609785449853,-37.90639112030665,-26.732418253143248,12.135256580692444,35
0.0861976941426595,0.00685501700741547,0.0004992485046386719,2.860294355232207e-05,0.01,3,1,5,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.6}",-9.606020656437376,-28.956331934401287,-47.05433215961775,-28.538894916818805,15.291058364450425,98
0.11058386166890462,0.011880453691187955,0.0007634162902832031,0.0004163366418174646,0.01,3,1,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",-9.882348115034121,-29.154420300733776,-45.88625603114501,-28.307674815637636,14.710723520510381,86
0.134339968363444,0.010309307997450232,0.00047699610392252606,1.0910671425965953e-05,0.01,3,1,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1.0}",-9.768165351831254,-29.72370348248195,-47.44586870655807,-28.979245846957095,15.390862990749122,122
0.20584988594055176,0.009778818882704722,0.0009290377298990885,0.00041676960348877744,0.01,3,1,5,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.6}",-10.359181323648684,-23.26967271197249,-56.07326382523907,-29.90070595362008,19.24270054036819,162
0.23730762799580893,0.01553439978160252,0.0006557305653889974,5.3965641459848525e-05,0.01,3,1,5,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.8}",-10.636079399195957,-24.051761564860655,-55.04725105464539,-29.911697339567336,18.59824682445838,163
