mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.040482680002848305,0.0014917822403024657,0.01323556900024414,0.002963871124429588,0.6,0.01,3,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",-9.65484145758729,-31.192399086400528,-36.587090164581,-25.811443569522936,11.63479026626043,11
0.044958035151163735,0.006715950727626833,0.013605356216430664,0.004509786451726191,0.6,0.01,3,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-9.706710070586528,-31.278660395313384,-36.430367132143346,-25.805245866014417,11.576043124864375,10
0.038991689682006836,0.00257881415457629,0.014887412389119467,0.006123669934505202,0.6,0.01,3,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-9.737845332826364,-31.639624922807034,-36.51260855956808,-25.963359605067158,11.64436852245332,17
0.055513461430867515,0.006920119544393878,0.015133221944173178,0.007015973020817053,0.6,0.01,3,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",-10.167109599941938,-28.565797423554496,-44.567161565111576,-27.766689529536006,14.055125372885744,46
0.05264727274576823,0.0058826042007088615,0.02893201510111491,0.022874563868168916,0.6,0.01,3,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-10.402319359802917,-28.72096894511013,-43.990582859633726,-27.70462372151559,13.731170851840695,45
0.049583991368611656,0.0023425933393155505,0.01958179473876953,0.0024917050532982364,0.6,0.01,3,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-10.679767100015175,-29.02401050080618,-44.213769106173906,-27.97251556899842,13.710374510590574,49
0.10680532455444336,0.0076669069130555455,0.017941633860270183,0.00629826092032389,0.6,0.01,3,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",-11.51473734611277,-23.80020158399484,-52.60232483530131,-29.305754588469643,17.21977152063371,72
0.08582520484924316,0.006346997281193652,0.019752105077107746,0.0035723045962272933,0.6,0.01,3,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-11.94361072403285,-25.28606885158625,-52.82323385991946,-30.017637811846186,17.02109878067611,96
0.09639565149943034,0.00934369854690437,0.015060981114705404,0.002048539884799243,0.6,0.01,3,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-12.418200087959788,-26.823094228369325,-53.787056269837976,-31.009450195389025,17.14622888880976,139
0.18259692192077637,0.004415562424637114,0.012217998504638672,0.003422761241255316,0.6,0.01,3,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.6}",-13.051871601315039,-19.801502837078665,-57.332732027457,-30.0620354886169,19.479177733156124,97
0.18143105506896973,0.008642251545921109,0.013343731562296549,0.003169042165145998,0.6,0.01,3,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-13.571930979550336,-21.88838717057045,-58.348791849302586,-31.269703333141123,19.446484464531025,151
0.18763415018717447,0.011849133970620752,0.015520175298055014,0.0027477942238672694,0.6,0.01,3,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",-14.06255774604812,-25.19024171658527,-59.6761592325133,-32.9763195650489,19.418503484018647,241
0.05251169204711914,0.014925528690722315,0.012260039647420248,0.0010474871244702058,0.6,0.01,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",-9.774622426651089,-30.25756931481364,-36.38551239602068,-25.472568045828467,11.378548357871082,1
0.04465166727701823,0.004692090358551046,0.013054291407267252,0.0032358906090252603,0.6,0.01,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",-9.832995453055657,-30.845063364621275,-36.38886989753796,-25.688976238404962,11.438022635567368,6
